UCD ID,Plate,Well,Cell Type,Pathway
UCD-0159595,Plate_9,F03,failing,Endocrinology & Hormones
UCD-0159527,Plate_9,F04,failing,DNA Damage
UCD-0159534,Plate_9,F05,failing,Others
UCD-0159542,Plate_9,F06,failing,MAPK
UCD-0159549,Plate_9,F07,failing,JAK/STAT
UCD-0159557,Plate_9,F08,failing,Others
UCD-0159565,Plate_9,F09,failing,TGF-beta/Smad
UCD-0159573,Plate_9,F10,failing,Protein Tyrosine Kinase
UCD-0159581,Plate_9,F11,failing,PI3K/Akt/mTOR
UCD-0159589,Plate_9,G02,failing,DNA Damage
UCD-0001944,Plate_9,G03,failing,Epigenetics
UCD-0159665,Plate_9,G04,failing,Others
UCD-0159535,Plate_9,G05,failing,Others
UCD-0159543,Plate_9,G06,failing,MAPK
UCD-0159550,Plate_9,G07,failing,MAPK
UCD-0159558,Plate_9,G08,failing,Cytoskeletal Signaling
UCD-0159566,Plate_9,G09,failing,DNA Damage
UCD-0159574,Plate_9,G10,failing,Epigenetics
UCD-0159582,Plate_9,G11,failing,Neuronal Signaling
DMSO,Plate_10,B02,healthy,
UCD-0159253,Plate_10,B03,failing,Epigenetics
UCD-0159596,Plate_10,B04,failing,Cytoskeletal Signaling
DMSO,Plate_10,B05,healthy,
UCD-0159528,Plate_10,B06,failing,Transmembrane Transporters
UCD-0159536,Plate_10,B07,failing,JAK/STAT
DMSO,Plate_10,B08,healthy,
UCD-0159544,Plate_10,B09,failing,Angiogenesis
UCD-0159551,Plate_10,B10,failing,Epigenetics
DMSO,Plate_10,B11,healthy,
UCD-0159559,Plate_10,C02,failing,DNA Damage
UCD-0159567,Plate_10,C03,failing,Others
UCD-0159575,Plate_10,C04,failing,Autophagy
UCD-0159583,Plate_10,C05,failing,MAPK
UCD-0159590,Plate_10,C06,failing,Others
UCD-0159597,Plate_10,C07,failing,Epigenetics
UCD-0159598,Plate_10,C08,failing,Endocrinology & Hormones
UCD-0159605,Plate_10,C09,failing,PI3K/Akt/mTOR
UCD-0159612,Plate_10,C10,failing,Cell Cycle
UCD-0159620,Plate_10,C11,failing,DNA Damage
UCD-0159628,Plate_10,D02,failing,GPCR & G Protein
UCD-0159636,Plate_10,D03,failing,Protein Tyrosine Kinase
UCD-0159644,Plate_10,D04,failing,Transmembrane Transporters
UCD-0159650,Plate_10,D05,failing,MAPK
UCD-0159658,Plate_10,D06,failing,Autophagy
UCD-0159599,Plate_10,D07,failing,MAPK
UCD-0159606,Plate_10,D08,failing,Autophagy
UCD-0159613,Plate_10,D09,failing,PI3K/Akt/mTOR
UCD-0159621,Plate_10,D10,failing,PI3K/Akt/mTOR
UCD-0159629,Plate_10,D11,failing,Angiogenesis
DMSO,Plate_10,E02,failing,
UCD-0159637,Plate_10,E03,failing,Others
UCD-0159645,Plate_10,E04,failing,Transmembrane Transporters
DMSO,Plate_10,E05,failing,
UCD-0159651,Plate_10,E06,failing,Angiogenesis
UCD-0159659,Plate_10,E07,failing,Metabolism
DMSO,Plate_10,E08,failing,
UCD-0159666,Plate_10,E09,failing,Cytoskeletal Signaling
UCD-0159607,Plate_10,E10,failing,Metabolism
DMSO,Plate_10,E11,failing,
UCD-0159614,Plate_10,F02,failing,Metabolism
UCD-0159622,Plate_10,F03,failing,JAK/STAT
UCD-0159630,Plate_10,F04,failing,Transmembrane Transporters
UCD-0159638,Plate_10,F05,failing,Apoptosis
UCD-0159646,Plate_10,F06,failing,GPCR & G Protein
UCD-0159652,Plate_10,F07,failing,Proteases
UCD-0159660,Plate_10,F08,failing,Epigenetics
UCD-0159600,Plate_10,F09,failing,Epigenetics
UCD-0001957,Plate_10,F10,failing,Epigenetics
UCD-0159615,Plate_10,F11,failing,Angiogenesis
UCD-0159623,Plate_10,G02,failing,DNA Damage
UCD-0159631,Plate_10,G03,failing,Cell Cycle
UCD-0159639,Plate_10,G04,failing,Protein Tyrosine Kinase
UCD-0159647,Plate_10,G05,failing,GPCR & G Protein
UCD-0159653,Plate_10,G06,failing,Protein Tyrosine Kinase
UCD-0159661,Plate_10,G07,failing,Transmembrane Transporters
UCD-0159601,Plate_10,G08,failing,Protein Tyrosine Kinase
UCD-0159608,Plate_10,G09,failing,Metabolism
UCD-0159616,Plate_10,G10,failing,GPCR & G Protein
UCD-0159624,Plate_10,G11,failing,GPCR & G Protein
DMSO,Plate_11,B02,healthy,
UCD-0159632,Plate_11,B03,failing,Angiogenesis
UCD-0159640,Plate_11,B04,failing,Epigenetics
DMSO,Plate_11,B05,healthy,
UCD-0001952,Plate_11,B06,failing,Epigenetics
UCD-0159654,Plate_11,B07,failing,Epigenetics
DMSO,Plate_11,B08,healthy,
UCD-0159662,Plate_11,B09,failing,GPCR & G Protein
UCD-0159602,Plate_11,B10,failing,Angiogenesis
DMSO,Plate_11,B11,healthy,
UCD-0159609,Plate_11,C02,failing,Others
UCD-0159617,Plate_11,C03,failing,Endocrinology & Hormones
UCD-0159625,Plate_11,C04,failing,Endocrinology & Hormones
UCD-0159633,Plate_11,C05,failing,Apoptosis
UCD-0159641,Plate_11,C06,failing,JAK/STAT
UCD-0001953,Plate_11,C07,failing,Epigenetics
UCD-0159655,Plate_11,C08,failing,Epigenetics
UCD-0159663,Plate_11,C09,failing,Protein Tyrosine Kinase
UCD-0159603,Plate_11,C10,failing,GPCR & G Protein
UCD-0159610,Plate_11,C11,failing,Transmembrane Transporters
UCD-0159618,Plate_11,D02,failing,MAPK
UCD-0159626,Plate_11,D03,failing,Neuronal Signaling
UCD-0159634,Plate_11,D04,failing,Cytoskeletal Signaling
UCD-0159642,Plate_11,D05,failing,Proteases
UCD-0159648,Plate_11,D06,failing,GPCR & G Protein
UCD-0159656,Plate_11,D07,failing,GPCR & G Protein
UCD-0159604,Plate_11,D08,failing,Autophagy
UCD-0159611,Plate_11,D09,failing,Others
UCD-0159619,Plate_11,D10,failing,GPCR & G Protein
UCD-0159627,Plate_11,D11,failing,Metabolism
DMSO,Plate_11,E02,failing,
UCD-0159635,Plate_11,E03,failing,MAPK
UCD-0159643,Plate_11,E04,failing,Metabolism
DMSO,Plate_11,E05,failing,
UCD-0159649,Plate_11,E06,failing,Angiogenesis
UCD-0159657,Plate_11,E07,failing,Others
DMSO,Plate_11,E08,failing,
DMSO,Plate_11,E11,failing,
TGFBRi,Plate_11,F02,healthy,
TGFBRi,Plate_11,F05,healthy,
TGFBRi,Plate_11,F08,healthy,
TGFBRi,Plate_11,F11,heathly,
TGFBRi,Plate_11,G02,failing,
TGFBRi,Plate_11,G05,failing,
TGFBRi,Plate_11,G08,failing,
TGFBRi,Plate_11,G11,failing,
